17/11/2021 16:30:03,Tensao: 258.44V, Corrente (S1): 4.42A, Corrente (S2): 4.45A, Potencia: 2290.52W, Consumo (acumulado): 0.00kWh
17/11/2021 13:30:11,Tensao: 130.26V, Corrente (S1): 0.57A, Corrente (S2): 0.55A, Potencia: 146.79W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:16,Tensao: 122.53V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:21,Tensao: 120.68V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:27,Tensao: 120.16V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:33,Tensao: 119.63V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:38,Tensao: 119.29V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:43,Tensao: 120.79V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:49,Tensao: 118.73V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:54,Tensao: 120.68V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:30:59,Tensao: 119.97V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:05,Tensao: 120.72V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:10,Tensao: 119.93V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:16,Tensao: 119.54V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:21,Tensao: 119.55V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:26,Tensao: 119.25V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:32,Tensao: 119.48V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:37,Tensao: 120.98V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:43,Tensao: 116.37V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:31:48,Tensao: 120.69V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
